,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,European Nationality,Height (cm),Weight(lbs),League
811,Klay Thompson,GSW,80.0,33.3,22.1,8.1,17.3,0.47,3.5,8.1,0.425,2.4,2.8,0.873,0.4,3.4,3.8,2.1,0.8,0.6,1.7,1.9,2016.0,False,198.0,95.0,NBA
812,Carmelo Anthony,NYK,72.0,35.1,21.8,7.9,18.2,0.434,1.5,4.3,0.339,4.6,5.6,0.829,1.4,6.4,7.7,4.2,0.9,0.5,2.4,2.5,2016.0,False,203.0,109.0,NBA
813,Kyle Lowry,TOR,77.0,37.0,21.2,6.6,15.6,0.427,2.8,7.1,0.388,5.2,6.4,0.811,0.7,4.0,4.7,6.4,2.1,0.4,2.9,2.7,2016.0,False,185.0,89.0,NBA
814,Kawhi Leonard,SAS,72.0,33.0,21.2,7.7,15.1,0.506,1.8,4.0,0.443,4.1,4.6,0.874,1.3,5.5,6.8,2.6,1.8,1.0,1.5,1.8,2016.0,False,201.0,102.0,NBA
815,Jimmy Butler,CHI,67.0,36.9,20.9,7.0,15.4,0.455,1.0,3.1,0.311,5.9,7.1,0.832,1.2,4.2,5.3,4.8,1.6,0.6,2.0,1.9,2016.0,False,203.0,105.0,NBA
816,Kemba Walker,CHA,81.0,35.6,20.9,7.0,16.4,0.427,2.2,6.0,0.371,4.6,5.4,0.847,0.7,3.7,4.4,5.2,1.6,0.5,2.1,1.4,2016.0,False,183.0,83.0,NBA
817,C.J. McCollum,POR,80.0,34.7,20.8,8.0,17.9,0.448,2.5,5.9,0.417,2.3,2.8,0.827,0.6,2.7,3.2,4.3,1.2,0.3,2.5,2.3,2016.0,False,191.0,91.0,NBA
818,Andrew Wiggins,MIN,81.0,35.1,20.7,7.3,16.0,0.459,0.7,2.3,0.3,5.3,7.0,0.761,1.3,2.3,3.6,2.0,1.0,0.6,2.2,2.0,2016.0,True,201.0,92.0,NBA
819,Brook Lopez,BRK,73.0,33.7,20.6,8.1,15.8,0.511,0.0,0.2,0.143,4.3,5.5,0.787,2.8,5.1,7.8,2.0,0.8,1.7,2.4,2.9,2016.0,False,213.0,122.0,NBA
820,Russell Westbrook,OKC,81.0,34.6,31.6,10.2,24.0,0.425,2.5,7.2,0.343,8.8,10.4,0.845,1.7,9.0,10.7,10.4,1.6,0.4,5.4,2.3,2017.0,False,191.0,91.0,NBA
821,James Harden,HOU,81.0,36.4,29.1,8.3,18.9,0.44,3.2,9.3,0.347,9.2,10.9,0.847,1.2,7.0,8.1,11.2,1.5,0.5,5.7,2.7,2017.0,False,196.0,100.0,NBA
822,Isaiah Thomas,BOS,76.0,33.8,28.9,9.0,19.4,0.463,3.2,8.5,0.379,7.8,8.5,0.909,0.6,2.1,2.7,5.9,0.9,0.2,2.8,2.2,2017.0,False,175.0,84.0,NBA
823,Anthony Davis,NOP,75.0,36.1,28.0,10.3,20.3,0.505,0.5,1.8,0.299,6.9,8.6,0.802,2.3,9.5,11.8,2.1,1.3,2.2,2.4,2.2,2017.0,False,208.0,115.0,NBA
824,DeMar DeRozan,TOR,74.0,35.4,27.3,9.7,20.9,0.467,0.4,1.7,0.266,7.4,8.7,0.842,0.9,4.3,5.2,3.9,1.1,0.2,2.4,1.8,2017.0,False,198.0,100.0,NBA
825,Damian Lillard,POR,75.0,35.9,27.0,8.8,19.8,0.444,2.9,7.7,0.37,6.5,7.3,0.895,0.6,4.3,4.9,5.9,0.9,0.3,2.6,2.0,2017.0,False,188.0,91.0,NBA
826,DeMarcus Cousins,NOP,72.0,34.2,27.0,9.0,19.9,0.452,1.8,5.0,0.361,7.2,9.3,0.772,2.1,8.9,11.0,4.6,1.4,1.3,3.7,3.9,2017.0,False,211.0,122.0,NBA
827,LeBron James,CLE,74.0,37.8,26.4,9.9,18.2,0.548,1.7,4.6,0.363,4.8,7.2,0.674,1.3,7.3,8.6,8.7,1.2,0.6,4.1,1.8,2017.0,False,203.0,113.0,NBA
828,Kawhi Leonard,SAS,74.0,33.4,25.5,8.6,17.7,0.485,2.0,5.2,0.38,6.3,7.2,0.88,1.1,4.7,5.8,3.5,1.8,0.7,2.1,1.6,2017.0,False,201.0,102.0,NBA
829,Stephen Curry,GSW,79.0,33.4,25.3,8.5,18.3,0.468,4.1,10.0,0.411,4.1,4.6,0.898,0.8,3.7,4.5,6.6,1.8,0.2,3.0,2.3,2017.0,False,191.0,90.0,NBA
830,Kyrie Irving,CLE,72.0,35.1,25.2,9.3,19.7,0.473,2.5,6.1,0.401,4.1,4.6,0.905,0.7,2.5,3.2,5.8,1.2,0.3,2.5,2.2,2017.0,True,188.0,87.0,NBA
831,Karl-Anthony Towns,MIN,82.0,37.0,25.1,9.8,18.0,0.542,1.2,3.4,0.367,4.3,5.2,0.832,3.6,8.7,12.3,2.7,0.7,1.3,2.6,2.9,2017.0,True,213.0,113.0,NBA
832,Kevin Durant,GSW,62.0,33.4,25.1,8.9,16.5,0.537,1.9,5.0,0.375,5.4,6.2,0.875,0.6,7.6,8.3,4.8,1.1,1.6,2.2,1.9,2017.0,False,208.0,102.0,NBA
833,Jimmy Butler,CHI,76.0,37.0,23.9,7.5,16.5,0.455,1.2,3.3,0.367,7.7,8.9,0.865,1.7,4.5,6.2,5.5,1.9,0.4,2.1,1.5,2017.0,False,203.0,105.0,NBA
834,Paul George,IND,75.0,35.9,23.7,8.3,18.0,0.462,2.6,6.6,0.394,4.5,5.0,0.898,0.8,5.8,6.6,3.3,1.6,0.4,2.9,2.7,2017.0,False,203.0,100.0,NBA
835,Andrew Wiggins,MIN,82.0,37.2,23.6,8.6,19.1,0.452,1.3,3.5,0.356,5.0,6.6,0.76,1.2,2.8,4.0,2.3,1.0,0.4,2.3,2.2,2017.0,True,201.0,92.0,NBA
836,Kemba Walker,CHA,79.0,34.7,23.2,8.1,18.4,0.443,3.0,7.6,0.399,3.8,4.5,0.847,0.6,3.3,3.9,5.5,1.1,0.3,2.1,1.5,2017.0,False,183.0,83.0,NBA
837,John Wall,WAS,78.0,36.4,23.1,8.3,18.4,0.451,1.1,3.5,0.327,5.4,6.8,0.801,0.8,3.4,4.2,10.7,2.0,0.6,4.1,1.9,2017.0,False,191.0,95.0,NBA
838,Bradley Beal,WAS,77.0,34.9,23.1,8.3,17.2,0.482,2.9,7.2,0.404,3.7,4.4,0.825,0.7,2.4,3.1,3.5,1.1,0.3,2.0,2.2,2017.0,False,191.0,94.0,NBA
839,C.J. McCollum,POR,80.0,34.9,23.0,8.7,18.0,0.48,2.3,5.5,0.421,3.4,3.7,0.912,0.8,2.9,3.6,3.6,0.9,0.5,2.2,2.5,2017.0,False,191.0,91.0,NBA
840,James Harden,HOU,72.0,35.4,30.4,9.0,20.1,0.449,3.7,10.0,0.367,8.7,10.1,0.858,0.6,4.8,5.4,8.8,1.8,0.7,4.4,2.3,2018.0,False,196.0,100.0,NBA
841,Anthony Davis,NOP,75.0,36.4,28.1,10.4,19.5,0.534,0.7,2.2,0.34,6.6,8.0,0.828,2.5,8.6,11.1,2.3,1.5,2.6,2.2,2.1,2018.0,False,208.0,115.0,NBA
842,LeBron James,CLE,82.0,36.9,27.5,10.5,19.3,0.542,1.8,5.0,0.367,4.7,6.5,0.731,1.2,7.5,8.6,9.1,1.4,0.9,4.2,1.7,2018.0,False,203.0,113.0,NBA
843,Damian Lillard,POR,73.0,36.6,26.9,8.5,19.4,0.439,3.1,8.6,0.361,6.8,7.4,0.916,0.8,3.6,4.5,6.6,1.1,0.4,2.8,1.6,2018.0,False,188.0,91.0,NBA
844,Giannis Antetokounmpo,MIL,75.0,36.8,26.9,9.9,18.7,0.529,0.6,1.9,0.307,6.5,8.5,0.76,2.1,8.0,10.0,4.8,1.5,1.4,3.0,3.1,2018.0,True,211.0,110.0,NBA
845,Stephen Curry,GSW,51.0,32.0,26.4,8.4,16.9,0.495,4.2,9.8,0.423,5.5,5.9,0.921,0.7,4.4,5.1,6.1,1.6,0.2,3.0,2.2,2018.0,False,191.0,90.0,NBA
846,Kevin Durant,GSW,68.0,34.2,26.4,9.3,18.0,0.516,2.5,6.1,0.419,5.3,5.9,0.889,0.5,6.4,6.8,5.4,0.7,1.8,3.0,2.0,2018.0,False,208.0,102.0,NBA
847,Russell Westbrook,OKC,80.0,36.4,25.4,9.5,21.1,0.449,1.2,4.1,0.298,5.2,7.1,0.737,1.9,8.2,10.1,10.3,1.8,0.3,4.8,2.5,2018.0,False,191.0,91.0,NBA
848,Kyrie Irving,BOS,60.0,32.2,24.4,8.9,18.1,0.491,2.8,6.8,0.408,3.9,4.4,0.889,0.6,3.2,3.8,5.1,1.1,0.3,2.3,2.0,2018.0,True,188.0,87.0,NBA
849,LaMarcus Aldridge,SAS,75.0,33.4,23.1,9.2,18.0,0.51,0.4,1.2,0.293,4.5,5.3,0.837,3.3,5.2,8.5,2.0,0.6,1.2,1.5,2.1,2018.0,False,211.0,120.0,NBA
850,Victor Oladipo,IND,75.0,34.0,23.1,8.5,17.9,0.477,2.1,5.8,0.371,3.9,4.9,0.799,0.6,4.6,5.2,4.3,2.4,0.8,2.9,2.3,2018.0,False,193.0,95.0,NBA
851,DeMar DeRozan,TOR,80.0,33.9,23.0,8.1,17.7,0.456,1.1,3.6,0.31,5.8,7.0,0.825,0.7,3.2,3.9,5.2,1.1,0.3,2.2,1.9,2018.0,False,198.0,100.0,NBA
852,Joel Embiid,PHI,63.0,30.4,22.9,8.1,16.8,0.483,1.0,3.4,0.308,5.7,7.4,0.769,2.3,8.7,11.0,3.2,0.6,1.8,3.7,3.3,2018.0,True,213.0,127.0,NBA
853,Bradley Beal,WAS,82.0,36.3,22.6,8.3,18.1,0.46,2.4,6.5,0.375,3.6,4.5,0.791,0.7,3.7,4.4,4.5,1.2,0.4,2.6,2.0,2018.0,False,191.0,94.0,NBA
854,Lou Williams,LAC,79.0,32.8,22.6,7.4,16.9,0.435,2.4,6.6,0.359,5.5,6.2,0.88,0.5,2.0,2.5,5.3,1.1,0.2,3.0,1.3,2018.0,False,185.0,79.0,NBA
855,Jimmy Butler,MIN,59.0,36.7,22.2,7.4,15.6,0.474,1.2,3.4,0.35,6.2,7.2,0.854,1.3,4.0,5.3,4.9,2.0,0.4,1.8,1.3,2018.0,False,203.0,105.0,NBA
856,Kemba Walker,CHA,80.0,34.2,22.1,7.4,17.0,0.431,2.9,7.5,0.384,4.5,5.3,0.864,0.4,2.7,3.1,5.6,1.1,0.3,2.2,1.2,2018.0,False,183.0,83.0,NBA
857,Paul George,OKC,79.0,36.6,21.9,7.3,17.0,0.43,3.1,7.7,0.401,4.3,5.2,0.822,0.9,4.7,5.7,3.3,2.0,0.5,2.7,2.9,2018.0,False,203.0,100.0,NBA
858,Blake Griffin,DET,58.0,34.0,21.4,7.5,17.2,0.438,1.9,5.6,0.345,4.5,5.7,0.785,1.3,6.1,7.4,5.8,0.7,0.3,2.8,2.4,2018.0,False,206.0,112.0,NBA
859,C.J. McCollum,POR,81.0,36.1,21.4,8.2,18.6,0.443,2.3,5.9,0.397,2.6,3.1,0.836,0.7,3.3,4.0,3.4,1.0,0.4,1.9,2.1,2018.0,False,191.0,91.0,NBA
860,James Harden,HOU,78.0,36.8,36.1,10.8,24.5,0.442,4.8,13.2,0.368,9.7,11.0,0.879,0.8,5.8,6.6,7.5,2.0,0.7,5.0,3.1,2019.0,False,196.0,100.0,NBA
861,Paul George,OKC,77.0,36.9,28.0,9.2,21.0,0.438,3.8,9.8,0.386,5.9,7.0,0.839,1.4,6.8,8.2,4.1,2.2,0.4,2.7,2.8,2019.0,False,203.0,100.0,NBA
862,Giannis Antetokounmpo,MIL,72.0,32.8,27.7,10.0,17.3,0.578,0.7,2.8,0.256,6.9,9.5,0.729,2.2,10.3,12.5,5.9,1.3,1.5,3.7,3.2,2019.0,True,211.0,110.0,NBA
863,Joel Embiid,PHI,64.0,33.7,27.5,9.1,18.7,0.484,1.2,4.1,0.3,8.2,10.1,0.804,2.5,11.1,13.6,3.7,0.7,1.9,3.5,3.3,2019.0,True,213.0,127.0,NBA
864,LeBron James,LAL,55.0,35.2,27.4,10.1,19.9,0.51,2.0,5.9,0.339,5.1,7.6,0.665,1.0,7.4,8.5,8.3,1.3,0.6,3.6,1.7,2019.0,False,203.0,113.0,NBA
865,Stephen Curry,GSW,69.0,33.8,27.3,9.2,19.4,0.472,5.1,11.7,0.437,3.8,4.2,0.916,0.7,4.7,5.3,5.2,1.3,0.4,2.8,2.4,2019.0,False,191.0,90.0,NBA
866,Kawhi Leonard,TOR,60.0,34.0,26.6,9.3,18.8,0.496,1.9,5.0,0.371,6.1,7.1,0.854,1.3,6.0,7.3,3.3,1.8,0.4,2.0,1.5,2019.0,False,201.0,102.0,NBA
867,Devin Booker,PHX,64.0,35.0,26.6,9.2,19.6,0.467,2.1,6.5,0.326,6.1,7.1,0.866,0.6,3.5,4.1,6.8,0.9,0.2,4.1,3.1,2019.0,False,198.0,93.0,NBA
868,Kevin Durant,GSW,78.0,34.6,26.0,9.2,17.7,0.521,1.8,5.0,0.353,5.7,6.5,0.885,0.4,5.9,6.4,5.9,0.7,1.1,2.9,2.0,2019.0,False,208.0,102.0,NBA
869,Anthony Davis,NOP,56.0,33.0,25.9,9.5,18.3,0.517,0.9,2.6,0.331,6.1,7.7,0.794,3.1,8.9,12.0,3.9,1.6,2.4,2.0,2.4,2019.0,False,208.0,115.0,NBA
870,Damian Lillard,POR,80.0,35.5,25.8,8.5,19.2,0.444,3.0,8.0,0.369,5.9,6.4,0.912,0.9,3.8,4.6,6.9,1.1,0.4,2.7,1.9,2019.0,False,188.0,91.0,NBA
871,Kemba Walker,CHA,82.0,34.9,25.6,8.9,20.5,0.434,3.2,8.9,0.356,4.6,5.5,0.844,0.6,3.8,4.4,5.9,1.2,0.4,2.6,1.6,2019.0,False,183.0,83.0,NBA
872,Bradley Beal,WAS,82.0,36.9,25.6,9.3,19.6,0.475,2.5,7.3,0.351,4.4,5.5,0.808,1.1,3.9,5.0,5.5,1.5,0.7,2.7,2.8,2019.0,False,191.0,94.0,NBA
873,Blake Griffin,DET,75.0,35.0,24.5,8.3,17.9,0.462,2.5,7.0,0.362,5.5,7.3,0.753,1.3,6.2,7.5,5.4,0.7,0.4,3.4,2.7,2019.0,False,206.0,112.0,NBA
