,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,European Nationality,Height (cm),Weight(lbs),League
0,Taylor Rochestie,NIZ,21.0,30.0,18.9,6.4,12.6,0.511,2.5,5.0,0.5,3.5,3.8,0.925,0.5,1.1,1.6,5.7,0.6,0.0,2.2,1.9,2015.0,True,185.0,88.0,Euroleague
1,Andrew Goudelock,FEN,29.0,29.9,17.0,6.7,13.0,0.511,2.4,5.3,0.461,1.2,1.7,0.75,0.3,1.9,2.2,2.1,0.7,0.1,1.4,1.8,2015.0,False,191.0,91.0,Euroleague
2,Keith Langford,UNI,10.0,29.2,16.7,6.2,12.6,0.492,1.2,3.8,0.316,3.1,4.2,0.738,0.8,2.7,3.5,2.3,1.1,0.2,2.2,1.9,2015.0,False,193.0,92.0,Euroleague
3,Boban Marjanovic,ZVE,24.0,27.3,16.6,6.2,10.0,0.623,0.0,0.0,0.0,4.2,5.3,0.781,3.5,7.2,10.7,1.0,0.4,0.8,1.4,1.5,2015.0,True,224.0,132.0,Euroleague
4,Bojan Dubljevic,VAL,8.0,22.9,15.5,5.6,11.0,0.511,1.5,3.5,0.429,2.8,3.0,0.917,1.3,2.9,4.1,0.9,0.9,0.3,1.0,2.3,2015.0,True,206.0,110.0,Euroleague
5,Damian Kulig,TUR,10.0,25.2,15.2,5.8,10.3,0.563,1.7,3.6,0.472,1.9,3.0,0.633,1.2,4.3,5.5,1.5,0.6,1.1,2.0,3.8,2015.0,True,206.0,109.0,Euroleague
6,Devin Smith,MAC,25.0,31.8,15.0,5.2,11.4,0.458,2.2,6.0,0.376,2.4,2.9,0.833,1.0,5.1,6.1,2.5,1.0,0.6,1.8,3.1,2015.0,False,196.0,110.0,Euroleague
7,Zoran Erceg,GAL,22.0,30.7,15.0,4.5,11.1,0.408,2.3,5.9,0.388,3.6,4.0,0.899,0.9,3.4,4.3,0.9,1.2,0.1,1.2,1.7,2015.0,True,206.0,112.0,Euroleague
8,Milos Teodosic,CSKA,24.0,28.2,14.8,4.7,10.9,0.431,2.9,7.2,0.405,2.4,2.8,0.866,0.3,2.6,2.8,7.0,0.8,0.0,3.7,2.8,2015.0,True,196.0,89.0,Euroleague
9,Deividad Gailius,NEP,10.0,26.9,14.7,5.4,11.5,0.47,2.4,5.9,0.407,1.5,2.5,0.6,0.9,3.9,4.8,2.5,1.3,0.0,2.1,2.5,2015.0,True,198.0,94.0,Euroleague
10,James Anderson,ZAL,24.0,28.4,14.5,5.3,13.3,0.396,1.9,5.8,0.329,2.1,2.7,0.785,0.8,4.4,5.1,2.5,0.9,0.5,2.1,2.4,2015.0,False,198.0,95.0,Euroleague
11,Trey Thompkins,NIZ,23.0,27.5,14.5,5.6,11.6,0.483,1.5,4.0,0.374,1.8,2.1,0.837,1.5,6.6,8.1,1.6,0.8,0.4,1.7,3.0,2015.0,False,208.0,111.0,Euroleague
12,Nando De Colo,CSKA,28.0,24.4,14.4,4.8,9.7,0.493,1.1,2.4,0.471,3.7,4.0,0.92,0.5,2.7,3.2,3.1,1.3,0.0,1.8,2.2,2015.0,True,196.0,88.0,Euroleague
13,Vassilis Spanoulis,OLY,26.0,28.1,14.4,4.2,10.7,0.396,1.9,5.8,0.333,4.0,5.3,0.759,0.2,1.6,1.8,5.5,0.8,0.1,3.1,2.2,2015.0,True,193.0,95.0,Euroleague
14,Alessandro Gentile,MIL,20.0,27.6,14.3,4.9,11.3,0.429,1.0,3.1,0.306,3.7,4.7,0.777,0.9,2.2,3.1,2.5,0.7,0.0,1.9,2.7,2015.0,True,198.0,103.0,Euroleague
15,Jamar Smith,CSP,10.0,26.1,14.0,5.2,10.1,0.515,2.7,5.9,0.458,0.9,1.1,0.818,0.4,2.2,2.6,3.1,1.2,0.1,1.7,1.0,2015.0,False,191.0,84.0,Euroleague
16,Tarence Kinsey,NIZ,17.0,30.9,13.8,4.7,11.4,0.415,1.2,3.2,0.37,3.2,4.1,0.786,1.1,4.1,5.1,1.8,1.6,0.2,2.1,2.8,2015.0,False,198.0,84.0,Euroleague
17,Jeremy Pargo,MAC,27.0,31.9,13.7,5.0,12.3,0.402,1.3,4.6,0.282,2.4,3.2,0.759,0.3,2.9,3.2,5.4,0.2,0.1,2.9,2.2,2015.0,False,188.0,99.0,Euroleague
18,Rakim Sanders,SAS,8.0,27.6,13.4,4.9,12.0,0.406,1.8,5.4,0.326,1.9,3.0,0.625,0.6,2.4,3.0,0.5,0.9,0.0,1.4,4.0,2015.0,False,196.0,103.0,Euroleague
19,Dusko Savanovic,BAY,10.0,25.2,13.1,4.6,10.2,0.451,1.8,3.9,0.462,2.1,2.8,0.75,1.3,3.1,4.4,1.2,0.7,0.2,1.3,1.6,2015.0,True,203.0,101.0,Euroleague
20,Nando De Colo,CSKA,27.0,27.7,19.4,6.3,12.0,0.526,1.7,3.7,0.46,5.1,5.7,0.908,0.3,3.3,3.6,5.0,1.1,0.1,2.8,2.0,2016.0,True,196.0,88.0,Euroleague
21,Malcolm Delaney,LOK,31.0,33.3,16.3,4.6,10.8,0.427,2.3,5.6,0.402,4.8,5.6,0.851,0.3,3.1,3.4,5.5,0.9,0.0,2.6,2.9,2016.0,False,191.0,86.0,Euroleague
22,Milos Teodosic,CSKA,29.0,26.8,16.1,4.8,10.2,0.468,2.7,6.2,0.428,3.9,4.4,0.884,0.3,2.4,2.7,5.7,0.9,0.0,3.0,2.2,2016.0,True,196.0,89.0,Euroleague
23,Alexey Shved,KHI,24.0,26.6,15.9,5.3,12.8,0.409,2.4,6.8,0.348,3.0,4.1,0.737,0.4,2.4,2.8,4.0,1.3,0.3,2.0,2.4,2016.0,True,198.0,85.0,Euroleague
24,Yannis Bourousis,BASK,29.0,25.1,14.5,4.7,9.4,0.502,1.1,2.8,0.383,4.0,4.9,0.811,1.7,7.0,8.7,2.2,0.8,0.8,1.9,2.4,2016.0,True,216.0,120.0,Euroleague
25,Quincy Miller,ZVE,24.0,29.1,14.1,5.0,10.5,0.478,1.5,4.6,0.327,2.6,3.4,0.778,1.0,4.7,5.7,0.9,0.9,1.5,1.9,2.6,2016.0,False,211.0,95.0,Euroleague
26,Georgios Printezis,OLY,21.0,25.0,14.1,5.5,10.8,0.513,1.0,2.6,0.364,2.1,3.0,0.698,1.6,4.0,5.5,1.3,0.5,0.2,1.0,1.9,2016.0,True,206.0,107.0,Euroleague
27,Taylor Rochestie,MAC,10.0,29.4,14.0,4.9,11.7,0.419,1.9,4.7,0.404,2.3,2.5,0.92,0.4,1.7,2.1,5.5,0.2,0.0,2.0,2.3,2016.0,True,185.0,88.0,Euroleague
28,Jacob Pullen,CED,24.0,24.3,13.5,4.5,10.9,0.412,1.9,5.7,0.328,2.7,3.3,0.8,0.4,1.2,1.6,2.8,0.9,0.0,2.4,1.5,2016.0,True,185.0,91.0,Euroleague
29,Darius Adams,BASK,29.0,25.2,13.2,4.7,11.8,0.395,2.4,7.1,0.338,1.5,1.8,0.827,0.1,2.0,2.2,4.0,1.3,0.1,2.5,1.7,2016.0,False,185.0,75.0,Euroleague
30,Miro Bilan,CED,24.0,26.0,13.1,5.5,10.0,0.546,0.1,0.4,0.333,2.1,3.3,0.625,2.2,4.0,6.1,2.0,0.7,0.3,2.0,2.3,2016.0,True,211.0,111.0,Euroleague
31,Sergio Llull,RMB,24.0,27.8,12.8,3.9,10.3,0.378,2.3,6.5,0.35,2.8,3.5,0.807,0.3,1.5,1.8,4.6,0.7,0.2,1.4,2.6,2016.0,True,191.0,86.0,Euroleague
32,Thomas Heurtel,EFE,24.0,27.4,12.7,4.4,8.9,0.498,1.5,3.4,0.427,2.4,3.0,0.803,0.4,2.5,2.9,7.9,0.8,0.0,3.3,1.8,2016.0,True,188.0,82.0,Euroleague
33,Miroslav Raduljica,PAN,27.0,20.5,12.7,4.6,8.1,0.568,0.0,0.0,0.0,3.4,4.1,0.821,1.7,2.8,4.4,1.3,0.7,0.1,2.3,2.9,2016.0,True,213.0,113.0,Euroleague
34,Ekpe Udoh,FEN,27.0,27.8,12.6,4.9,8.8,0.555,0.0,0.1,0.0,2.8,3.7,0.768,2.0,3.1,5.1,1.3,0.7,2.3,1.5,2.2,2016.0,True,208.0,111.0,Euroleague
35,Gigi Datome,FEN,29.0,27.0,12.4,4.4,8.5,0.516,1.4,3.1,0.462,2.2,2.6,0.867,1.3,3.1,4.4,1.9,0.4,0.3,1.7,2.4,2016.0,True,203.0,98.0,Euroleague
36,Nihad Djedovic,BAY,10.0,26.6,12.4,4.6,9.8,0.469,1.4,4.2,0.333,1.8,2.1,0.857,0.7,2.3,3.0,2.6,1.2,0.0,2.0,2.1,2016.0,True,198.0,93.0,Euroleague
37,Tyrese Rice,KHI,24.0,29.2,12.4,4.3,11.1,0.382,1.5,4.9,0.308,2.4,2.9,0.814,0.4,1.7,2.1,6.1,1.2,0.1,3.0,2.3,2016.0,True,185.0,86.0,Euroleague
38,Maik Zirbes,ZVE,27.0,25.2,12.4,4.6,7.7,0.604,0.0,0.0,0.0,3.1,4.6,0.677,2.7,3.5,6.1,0.7,0.9,0.6,2.1,2.9,2016.0,True,206.0,115.0,Euroleague
39,Paulius Jankunas,ZAL,24.0,25.6,12.3,4.5,9.1,0.495,0.5,1.8,0.31,2.8,3.3,0.838,1.4,4.8,6.2,1.5,0.9,0.2,1.8,2.8,2016.0,True,206.0,107.0,Euroleague
40,Keith Langford,UNI,28.0,34.0,21.8,6.9,16.8,0.409,2.0,5.6,0.363,6.0,7.2,0.832,0.7,2.7,3.4,3.7,0.8,0.2,2.4,1.8,2017.0,False,193.0,92.0,Euroleague
41,Nando De Colo,CSKA,28.0,27.1,19.1,6.3,12.2,0.516,1.5,3.6,0.426,5.0,5.2,0.959,0.1,2.8,2.9,3.9,1.0,0.1,3.3,2.2,2017.0,True,196.0,88.0,Euroleague
42,Brad Wanamaker,DBI,34.0,33.5,16.7,5.3,11.8,0.448,1.6,4.3,0.386,4.5,5.2,0.864,0.5,2.6,3.1,4.7,1.5,0.1,3.0,2.8,2017.0,False,191.0,95.0,Euroleague
43,Sergio Llull,RMB,33.0,27.8,16.5,5.4,12.9,0.416,2.2,6.7,0.33,3.5,4.2,0.847,0.3,1.5,1.8,5.9,0.7,0.1,2.3,1.9,2017.0,True,191.0,86.0,Euroleague
44,Shane Larkin,BASK,33.0,28.9,13.1,4.2,10.5,0.406,1.5,4.3,0.343,3.1,3.9,0.797,0.5,2.2,2.7,5.7,1.3,0.2,2.8,2.4,2017.0,True,180.0,79.0,Euroleague
45,Will Clyburn,DBI,34.0,28.2,13.0,4.9,11.4,0.429,0.7,2.4,0.289,2.5,3.6,0.685,1.5,3.6,5.1,1.3,0.9,0.3,1.4,1.9,2017.0,False,198.0,95.0,Euroleague
46,Paulius Jankunas,ZAL,30.0,23.6,13.0,4.4,8.5,0.52,0.6,1.6,0.396,3.5,4.0,0.868,1.4,4.7,6.1,1.5,0.6,0.4,1.7,3.0,2017.0,True,206.0,107.0,Euroleague
47,Tyrese Rice,FCB,30.0,29.6,13.0,4.6,12.1,0.376,1.8,5.7,0.32,2.0,2.4,0.822,0.3,1.4,1.6,4.9,1.1,0.1,2.6,2.1,2017.0,True,185.0,86.0,Euroleague
48,Georgios Printezis,OLY,32.0,25.4,12.8,4.9,10.4,0.468,0.8,2.1,0.403,2.2,3.1,0.7,1.3,3.8,5.1,1.0,0.7,0.2,0.7,1.1,2017.0,True,206.0,107.0,Euroleague
49,Thomas Heurtel,EFE,35.0,26.3,12.7,4.8,10.5,0.457,1.0,3.0,0.337,2.1,2.4,0.867,0.2,1.5,1.7,5.6,0.8,0.0,2.5,2.2,2017.0,True,188.0,82.0,Euroleague
50,Vassilis Spanoulis,OLY,33.0,26.8,12.6,4.0,10.0,0.396,1.6,5.1,0.315,3.1,4.0,0.759,0.2,1.5,1.7,6.1,0.6,0.0,4.0,2.3,2017.0,True,193.0,95.0,Euroleague
51,Marko Simonovic,ZVE,30.0,26.7,12.6,4.3,9.3,0.466,1.9,4.9,0.39,2.0,2.5,0.824,0.7,2.8,3.6,0.7,0.8,0.1,0.8,1.6,2017.0,True,203.0,100.0,Euroleague
52,Rakim Sanders,MIL,24.0,22.8,12.5,4.8,10.1,0.477,1.6,4.0,0.406,1.3,1.9,0.667,0.9,2.6,3.5,1.2,1.1,0.2,1.3,2.5,2017.0,False,196.0,103.0,Euroleague
53,Derrick Brown,EFE,35.0,29.3,12.3,4.8,9.7,0.491,0.5,1.7,0.293,2.3,2.9,0.767,1.7,3.9,5.5,2.2,1.0,0.5,1.6,1.9,2017.0,False,201.0,102.0,Euroleague
54,Darius Miller,BRO,30.0,27.1,12.2,4.3,9.3,0.46,2.1,5.0,0.411,1.6,1.8,0.889,0.2,2.5,2.7,2.0,0.6,0.4,1.5,2.9,2017.0,False,203.0,102.0,Euroleague
55,Ekpe Udoh,FEN,31.0,32.0,12.1,4.8,8.3,0.584,0.0,0.0,0.0,2.5,3.8,0.644,2.5,5.3,7.8,2.2,1.0,2.2,1.2,2.1,2017.0,True,208.0,111.0,Euroleague
56,Chris Singleton,PAN,33.0,28.2,12.0,3.8,7.8,0.496,1.5,3.3,0.436,2.9,3.8,0.748,1.9,4.0,5.9,1.2,1.2,1.0,1.4,3.2,2017.0,False,203.0,103.0,Euroleague
57,Rodrigue Beaubois,BASK,30.0,20.3,11.7,4.3,9.4,0.457,1.8,4.7,0.38,1.3,1.5,0.87,0.2,1.3,1.4,1.7,0.4,0.5,1.6,2.2,2017.0,True,185.0,83.0,Euroleague
58,Janis Strelnieks,BRO,22.0,25.1,11.7,4.2,8.1,0.522,1.8,3.9,0.459,1.5,1.7,0.892,0.2,2.0,2.2,3.5,0.6,0.0,1.2,2.0,2017.0,True,191.0,86.0,Euroleague
59,Scottie Wilbekin,DBI,31.0,25.2,11.6,3.7,8.7,0.43,2.2,5.5,0.404,1.9,2.2,0.87,0.6,1.1,1.8,3.2,1.4,0.0,1.8,2.3,2017.0,True,188.0,80.0,Euroleague
60,Alexey Shved,KHI,34.0,32.2,21.8,7.0,17.3,0.407,3.1,9.5,0.33,4.6,5.6,0.82,0.2,2.4,2.6,5.2,1.3,0.2,3.1,1.9,2018.0,True,198.0,85.0,Euroleague
61,Nemanja Nedovic,UNI,24.0,25.1,16.8,5.6,13.0,0.429,2.3,6.3,0.358,3.4,4.0,0.845,0.4,1.5,2.0,4.8,0.6,0.1,2.2,1.6,2018.0,True,191.0,87.0,Euroleague
62,Nando De Colo,CSKA,32.0,25.8,16.7,5.7,10.4,0.542,1.8,3.7,0.492,3.5,3.7,0.95,0.3,1.9,2.3,3.7,1.3,0.1,2.3,2.0,2018.0,True,196.0,88.0,Euroleague
63,Luka Doncic,RMB,33.0,25.9,16.0,4.7,10.5,0.451,1.7,5.2,0.329,4.8,5.9,0.816,0.8,4.0,4.8,4.3,1.1,0.3,2.3,1.5,2018.0,True,201.0,104.0,Euroleague
64,Errick McCollum,EFE,29.0,26.5,14.6,5.0,11.7,0.429,1.8,4.5,0.4,2.7,3.5,0.775,0.5,1.9,2.4,2.3,0.8,0.4,2.0,2.1,2018.0,False,188.0,77.0,Euroleague
65,Nick Calathes,PAN,31.0,29.0,14.5,5.8,12.2,0.476,1.1,3.7,0.293,1.8,3.2,0.576,0.6,3.2,3.8,8.0,1.7,0.1,2.3,2.5,2018.0,True,198.0,97.0,Euroleague
66,Pierre Jackson,MAC,29.0,25.6,14.5,4.6,11.2,0.41,1.9,5.1,0.367,3.4,4.0,0.862,0.4,2.5,2.9,4.2,1.0,0.0,2.7,2.5,2018.0,False,178.0,82.0,Euroleague
67,Erick Green,VAL,28.0,24.6,14.4,4.5,10.1,0.445,1.5,3.7,0.417,3.9,4.3,0.9,0.3,1.4,1.7,1.7,0.8,0.0,1.0,1.3,2018.0,False,191.0,81.0,Euroleague
68,Cory Higgins,CSKA,36.0,24.7,14.2,5.1,9.5,0.543,1.1,2.4,0.455,2.8,3.4,0.806,0.4,2.0,2.4,1.9,1.0,0.1,1.4,2.8,2018.0,False,196.0,82.0,Euroleague
69,Sergio Rodriguez,CSKA,36.0,26.0,13.8,4.8,9.7,0.491,2.6,5.8,0.438,1.7,1.9,0.897,0.3,1.7,2.0,4.9,0.8,0.1,2.1,2.1,2018.0,True,191.0,80.0,Euroleague
70,Tornike Shengelia,BASK,33.0,25.5,13.7,5.1,9.0,0.569,0.5,1.4,0.326,3.0,4.4,0.681,1.6,4.5,6.1,2.2,0.8,0.5,1.5,2.0,2018.0,True,206.0,100.0,Euroleague
71,Taylor Rochestie,ZVE,30.0,26.0,13.4,5.1,10.3,0.494,1.7,4.1,0.407,1.6,1.8,0.891,0.4,1.8,2.3,5.0,0.8,0.1,1.8,2.1,2018.0,True,185.0,88.0,Euroleague
72,Kevin Pangos,ZAL,36.0,27.5,12.7,4.6,9.6,0.483,2.1,4.4,0.475,1.4,1.8,0.754,0.4,2.3,2.7,5.9,0.7,0.1,2.6,2.8,2018.0,True,188.0,84.0,Euroleague
73,Norris Cole,MAC,28.0,24.6,12.6,4.7,11.3,0.418,0.8,2.5,0.319,2.4,2.9,0.817,0.1,2.4,2.5,3.8,1.1,0.1,2.1,2.7,2018.0,False,188.0,79.0,Euroleague
74,Jan Vesely,FEN,34.0,26.6,12.5,4.7,7.7,0.609,0.0,0.0,0.0,3.1,4.4,0.707,2.5,2.6,5.1,1.6,0.9,0.7,1.5,3.4,2018.0,True,211.0,109.0,Euroleague
75,Rodrigue Beaubois,BASK,33.0,21.3,12.4,4.8,9.5,0.498,1.6,4.1,0.4,1.3,1.4,0.894,0.5,2.0,2.4,1.8,0.7,0.4,1.2,2.6,2018.0,True,185.0,83.0,Euroleague
76,Andrew Goudelock,MIL,25.0,26.2,12.3,4.4,11.1,0.392,1.6,5.1,0.313,2.0,2.2,0.926,0.4,2.0,2.4,1.8,0.8,0.2,1.2,2.0,2018.0,False,191.0,91.0,Euroleague
77,Kevin Seraphin,FCB,15.0,20.3,12.1,4.9,8.4,0.579,0.0,0.1,0.0,2.4,3.7,0.655,1.7,3.2,4.9,0.9,0.3,0.9,1.9,2.6,2018.0,True,208.0,126.0,Euroleague
78,Georgios Printezis,OLY,28.0,25.6,12.0,4.6,9.9,0.466,0.8,2.4,0.343,2.0,2.9,0.691,1.4,4.1,5.5,1.4,0.5,0.3,1.3,1.2,2018.0,True,206.0,107.0,Euroleague
79,Anthony Gill,KHI,32.0,25.9,11.8,4.2,7.1,0.588,1.0,2.2,0.478,2.3,3.2,0.743,1.5,3.0,4.5,1.0,0.5,0.6,1.3,2.8,2018.0,False,203.0,104.0,Euroleague
80,Mike James,MIL,30.0,34.0,19.8,6.3,15.6,0.404,2.3,7.2,0.326,4.9,5.9,0.826,0.4,3.4,3.8,6.4,1.3,0.0,2.6,2.6,2019.0,False,185.0,86.0,Euroleague
81,Cory Higgins,CSKA,32.0,25.4,14.9,4.9,9.9,0.492,1.6,3.3,0.49,3.5,3.9,0.897,0.6,1.6,2.2,1.8,0.4,0.3,1.3,2.5,2019.0,False,196.0,82.0,Euroleague
82,Nando De Colo,CSKA,34.0,24.2,14.7,4.7,9.4,0.5,1.7,4.0,0.431,3.6,3.8,0.946,0.5,2.0,2.5,3.4,0.9,0.0,2.1,1.8,2019.0,True,196.0,88.0,Euroleague
83,Jordan Mickey,KHI,28.0,22.6,14.2,5.5,10.5,0.529,0.7,2.0,0.351,2.4,3.3,0.739,1.7,3.3,5.0,0.7,0.8,1.1,1.5,1.9,2019.0,False,203.0,107.0,Euroleague
84,Brandon Davies,ZAL,34.0,24.2,14.2,5.2,9.3,0.559,0.0,0.0,0.0,3.9,5.1,0.762,1.8,3.6,5.5,2.0,1.0,0.4,1.9,2.9,2019.0,True,208.0,109.0,Euroleague
85,Vladimir Micov,MIL,30.0,31.3,13.9,5.0,10.9,0.456,1.9,4.7,0.394,2.1,2.7,0.79,0.5,2.7,3.2,2.5,1.1,0.1,1.4,2.3,2019.0,True,201.0,102.0,Euroleague
86,Will Clyburn,CSKA,35.0,27.0,13.6,4.6,9.8,0.474,1.0,2.8,0.343,3.3,4.5,0.745,1.7,5.1,6.8,1.5,1.0,0.2,1.4,1.9,2019.0,False,198.0,95.0,Euroleague
87,Derrick Williams,BAY,29.0,26.0,13.4,4.4,9.5,0.46,1.2,3.7,0.333,3.4,4.3,0.784,1.2,2.9,4.2,0.6,0.6,0.5,1.5,1.4,2019.0,False,203.0,109.0,Euroleague
88,Scottie Wilbekin,MAC,29.0,24.8,12.9,4.3,10.9,0.397,2.2,6.8,0.328,1.9,2.4,0.8,0.3,1.5,1.8,3.1,0.9,0.0,1.7,1.9,2019.0,True,188.0,80.0,Euroleague
89,Anthony Randolph,RMB,33.0,22.6,12.5,4.3,8.9,0.485,1.8,4.4,0.414,2.1,2.7,0.756,0.7,3.6,4.3,0.9,0.5,0.3,0.8,1.2,2019.0,True,211.0,102.0,Euroleague
90,Shane Larkin,EFE,35.0,22.0,12.5,3.9,7.9,0.498,1.9,4.2,0.449,2.8,3.2,0.866,0.3,1.9,2.2,3.1,0.9,0.1,1.8,1.6,2019.0,True,180.0,79.0,Euroleague
91,Arturas Gudaitis,MIL,21.0,23.8,12.5,3.7,5.8,0.639,0.0,0.0,0.0,5.1,6.3,0.805,3.3,3.8,7.1,0.4,0.8,1.0,1.3,3.0,2019.0,True,208.0,115.0,Euroleague
92,Vasilje Micic,EFE,37.0,28.2,12.4,4.5,9.5,0.474,1.8,4.8,0.371,1.6,1.9,0.819,0.2,1.9,2.2,5.5,1.0,0.1,2.8,2.7,2019.0,True,196.0,91.0,Euroleague
93,Nick Calathes,PAN,33.0,31.0,12.2,4.9,12.6,0.393,1.2,4.5,0.265,1.2,2.2,0.528,0.5,3.8,4.3,8.7,1.7,0.1,3.1,2.6,2019.0,True,198.0,97.0,Euroleague
94,Adrien Moerman,EFE,37.0,29.1,12.0,4.8,9.3,0.516,1.5,3.7,0.401,0.9,1.1,0.872,1.3,4.8,6.1,1.5,1.1,0.3,1.1,1.9,2019.0,True,203.0,102.0,Euroleague
95,Vincent Poirier,BASK,34.0,25.6,11.9,5.0,8.1,0.617,0.0,0.0,0.0,2.0,2.7,0.731,3.4,4.9,8.3,1.1,0.8,0.8,1.3,2.6,2019.0,True,213.0,107.0,Euroleague
96,Kostas Sloukas,FEN,33.0,26.6,11.8,3.9,7.4,0.522,1.5,3.2,0.449,2.6,2.8,0.934,0.2,2.0,2.2,4.8,0.5,0.0,1.9,1.5,2019.0,True,188.0,95.0,Euroleague
97,Earl Clark,BUD,29.0,27.5,11.7,4.5,11.3,0.399,1.4,3.6,0.388,1.3,1.9,0.691,0.8,3.0,3.7,1.0,0.8,0.6,1.5,1.5,2019.0,False,208.0,106.0,Euroleague
98,Nikola Milutinov,OLY,28.0,26.0,11.7,4.5,6.8,0.663,0.0,0.0,1.0,2.6,3.6,0.74,3.4,4.5,7.9,1.5,0.6,0.7,1.3,1.5,2019.0,True,213.0,100.0,Euroleague
99,Nate Wolters,ZAL,28.0,22.9,11.2,4.7,9.2,0.512,0.9,2.4,0.368,0.9,1.3,0.694,0.3,2.5,2.8,3.8,0.8,0.0,1.5,2.2,2019.0,False,193.0,86.0,Euroleague
100,Shane Larkin,EFE,25.0,29.9,22.2,6.7,12.7,0.53,3.5,6.9,0.509,5.2,5.8,0.903,0.5,2.6,3.1,4.1,1.3,0.0,2.2,1.3,2020.0,True,180.0,79.0,Euroleague
101,Alexey Shved,KHI,26.0,31.2,21.4,6.6,16.8,0.39,3.2,9.7,0.329,5.1,5.7,0.892,0.2,2.4,2.7,6.2,0.9,0.4,3.9,2.0,2020.0,True,198.0,85.0,Euroleague
102,Mike James,CSKA,28.0,28.6,21.1,6.5,14.9,0.44,2.8,6.7,0.42,5.2,6.2,0.833,0.5,2.9,3.3,4.3,0.7,0.1,3.0,1.6,2020.0,False,185.0,86.0,Euroleague
103,Nikola Mirotic,FCB,28.0,27.8,19.0,6.2,12.8,0.483,1.9,5.8,0.331,4.8,5.5,0.869,1.7,5.2,6.9,1.6,1.2,0.3,1.9,1.8,2020.0,True,208.0,113.0,Euroleague
104,Scottie Wilbekin,MAC,26.0,26.1,16.0,5.0,11.6,0.434,3.4,7.9,0.432,2.5,3.1,0.813,0.2,1.8,2.0,3.4,1.2,0.0,2.2,1.5,2020.0,True,188.0,80.0,Euroleague
105,Kevin Punter,ZVE,12.0,22.1,15.9,5.2,10.8,0.477,2.1,4.3,0.481,3.5,3.9,0.894,0.2,0.9,1.1,1.5,0.6,0.1,0.8,2.0,2020.0,False,188.0,86.0,Euroleague
106,Nando De Colo,FEN,24.0,28.7,15.9,5.3,10.5,0.506,1.7,4.2,0.4,3.6,3.8,0.956,0.8,2.2,3.0,3.0,0.6,0.0,2.9,1.9,2020.0,True,196.0,88.0,Euroleague
107,Tornike Shengelia,BASK,28.0,30.4,15.9,6.1,11.4,0.533,1.2,3.1,0.391,2.5,3.3,0.769,1.8,3.8,5.6,2.9,1.0,0.5,2.8,2.4,2020.0,True,206.0,100.0,Euroleague
108,Vasilje Micic,EFE,24.0,30.6,14.5,5.0,10.8,0.469,2.2,5.4,0.4,2.2,2.3,0.964,0.4,2.1,2.5,5.8,1.3,0.0,3.1,2.5,2020.0,True,196.0,91.0,Euroleague
109,Bojan Dubljevic,VAL,26.0,23.5,14.2,5.0,9.8,0.514,1.2,3.3,0.349,3.0,3.6,0.828,2.4,4.1,6.5,1.7,0.6,0.2,1.9,1.4,2020.0,True,206.0,110.0,Euroleague
110,Deshaun Thomas,PAN,28.0,29.9,13.9,5.1,10.4,0.493,1.3,3.7,0.359,2.3,2.9,0.78,1.9,2.6,4.4,1.0,1.0,0.2,1.1,2.0,2020.0,False,201.0,100.0,Euroleague
111,Rokas Giedraitis,BER,25.0,27.0,13.8,4.6,9.7,0.469,2.0,5.1,0.398,2.6,3.1,0.844,1.2,2.8,4.0,1.4,1.4,0.1,1.1,1.9,2020.0,True,198.0,81.0,Euroleague
112,Anthony Randolph,RMB,19.0,23.9,13.7,4.5,8.9,0.506,2.7,5.6,0.491,1.9,2.5,0.766,0.8,3.5,4.3,0.4,0.8,0.2,1.1,1.4,2020.0,True,211.0,102.0,Euroleague
113,Nick Calathes,PAN,28.0,32.2,13.3,5.1,12.1,0.42,1.1,4.1,0.281,2.0,3.4,0.594,0.4,4.5,4.9,9.1,1.1,0.1,3.3,2.8,2020.0,True,198.0,97.0,Euroleague
114,Sergio Rodriguez,MIL,28.0,25.6,13.0,4.6,11.0,0.419,2.1,5.5,0.374,1.8,1.8,0.961,0.3,1.9,2.3,5.4,0.9,0.1,2.0,2.3,2020.0,True,191.0,80.0,Euroleague
115,Greg Monroe,BAY,28.0,24.2,12.9,5.2,9.9,0.523,0.0,0.0,0.0,2.5,3.4,0.747,2.2,4.5,6.8,2.5,1.3,0.6,2.5,2.1,2020.0,False,211.0,120.0,Euroleague
116,Jimmer Fredette,PAN,27.0,21.3,12.9,4.0,8.5,0.474,1.7,4.0,0.417,3.1,3.3,0.955,0.4,1.8,2.1,1.8,0.8,0.0,1.3,1.3,2020.0,False,188.0,88.0,Euroleague
117,Janis Timma,KHI,21.0,29.9,12.5,4.5,10.6,0.422,2.9,7.6,0.375,0.7,1.0,0.682,0.8,2.3,3.1,2.0,1.2,0.3,2.0,3.0,2020.0,True,201.0,103.0,Euroleague
118,Gustavo Ayon,ZEN,26.0,21.4,12.5,5.6,9.4,0.596,0.0,0.0,0.0,1.2,2.1,0.582,2.5,2.9,5.3,2.2,1.3,0.5,2.4,2.7,2020.0,True,208.0,113.0,Euroleague
